"","doc_id","word","candidate"
"420","2024-11-02","team","Donald Trump"
"421","2024-11-02","himself","Donald Trump"
"422","2024-11-02","say","Donald Trump"
"423","2024-11-02","power","Donald Trump"
"424","2024-11-02","world","Donald Trump"
"425","2024-11-02","go","Donald Trump"
"426","2024-11-02","insults","Donald Trump"
"427","2024-11-02","fight","Donald Trump"
"428","2024-11-02","era","Donald Trump"
"429","2024-11-02","Donald","Donald Trump"
"430","2024-11-02","intelligence","Donald Trump"
"431","2024-11-02","Donald","Donald Trump"
"432","2024-11-02","election","Donald Trump"
"433","2024-11-02","turn","Donald Trump"
"434","2024-11-02","glorify","Donald Trump"
"435","2024-11-02","declare","Donald Trump"
"436","2024-11-02","say","Donald Trump"
"437","2024-11-02","Donald","Donald Trump"
"438","2024-11-02","have","Donald Trump"
"439","2024-11-02","resemble","Donald Trump"
"440","2024-11-02","complex","Donald Trump"
"441","2024-11-02","she","Donald Trump"
"442","2024-11-01","Donald","Donald Trump"
"443","2024-11-01","first","Donald Trump"
"444","2024-11-01","Donald","Donald Trump"
"445","2024-11-01","Donald","Donald Trump"
"446","2024-11-01","contest","Donald Trump"
"447","2024-11-01","Donald","Donald Trump"
"448","2024-11-01","man","Donald Trump"
"449","2024-11-01","rally","Donald Trump"
"450","2024-11-01","cost","Donald Trump"
"451","2024-11-01","Donald","Donald Trump"
"452","2024-11-01","work","Donald Trump"
"453","2024-11-01","restoration","Donald Trump"
"454","2024-11-01","order","Donald Trump"
"455","2024-11-01","term","Donald Trump"
"456","2024-11-01","listen","Donald Trump"
"457","2024-11-01","Donald","Donald Trump"
"458","2024-11-01","call","Donald Trump"
"459","2024-11-01","have","Donald Trump"
"460","2024-11-01","win","Donald Trump"
"461","2024-11-01","lose","Donald Trump"
"462","2024-11-01","indictment","Donald Trump"
"463","2024-11-01","endorsement","Donald Trump"
"464","2024-11-01","win","Donald Trump"
"465","2024-11-01","start","Donald Trump"
"466","2024-11-01","nominee","Donald Trump"
"467","2024-11-01","look","Donald Trump"
"468","2024-11-01","beat","Donald Trump"
"469","2024-11-01","nominate","Donald Trump"
"470","2024-11-01","renomination","Donald Trump"
"471","2024-11-01","renomination","Donald Trump"
"472","2024-11-01","fill","Donald Trump"
"473","2024-11-01","dream","Donald Trump"
"474","2024-11-01","turn","Donald Trump"
"475","2024-11-01","sell","Donald Trump"
"476","2024-11-01","go","Donald Trump"
"477","2024-11-01","follow","Donald Trump"
"478","2024-11-01","lost","Donald Trump"
"479","2024-11-01","win","Donald Trump"
"480","2024-11-01","campaign","Donald Trump"
"481","2024-11-01","win","Donald Trump"
"482","2024-11-01","Donald","Donald Trump"
"483","2024-11-01","want","Donald Trump"
"484","2024-11-01","Donald","Donald Trump"
"485","2024-11-01","position","Donald Trump"
"486","2024-11-01","race","Donald Trump"
"487","2024-11-01","think","Donald Trump"
"488","2024-11-01","go","Donald Trump"
"489","2024-11-01","indictment","Donald Trump"
"490","2024-11-01","take","Donald Trump"
"491","2024-11-01","say","Donald Trump"
"492","2024-11-01","ballot","Donald Trump"
"493","2024-11-01","presidency","Donald Trump"
"494","2024-11-01","Donald","Donald Trump"
"495","2024-11-01","put","Donald Trump"
"496","2024-11-01","era","Donald Trump"
"497","2024-11-01","win","Donald Trump"
"498","2024-11-01","lost","Donald Trump"
"499","2024-11-01","n’t","Donald Trump"
"500","2024-11-01","not","Donald Trump"
"501","2024-11-01","react","Donald Trump"
"502","2024-11-01","talk","Donald Trump"
"503","2024-11-01","have","Donald Trump"
"504","2024-11-01","era","Donald Trump"
"505","2024-11-01","put","Donald Trump"
